,Disease,Symptoms,Cleaned_Symptoms
55,Conjunctivitis,"Conjunctivitis usually causes symptoms in both eyes like:

inflammation
redness
itching
a burning or gritty feeling
watering
pus that sticks to the eyelashes

",conjunctivitis usually cause symptom eye like inflammation redness itching burning gritty feeling watering pu stick eyelash
56,Coronavirus (COVID-19),"Symptoms of coronavirus include:

high temperature, fever or chills
feeling generally unwell
continuous cough
loss of, or change in, your normal sense of taste or smell
shortness of breath
unexplained tiredness, lack of energy
muscle aches or pains that are not due to exercise
not wanting to eat or not feeling hungry
headache that’s unusual or longer lasting than usual
sore throat, stuffy or runny nose
diarrhoea
feeling sick or being sick

You might continue to have a cough or feel tired after your other symptoms have improved. This does not mean that you’re still infectious.
How to help your symptoms

Do

drink fluids like water to keep yourself hydrated
get plenty of rest
wear loose, comfortable clothing – don’t try to make yourself too cold
take over-the-counter medications like paracetamol – always follow the manufacturer’s instructions

Antibiotics will not relieve your symptoms or speed up your recovery.







                    Phone 999 or to go A&E if:
                




You or your child:

seems very unwell, is getting worse or you think there’s something seriously wrong – children and babies in particular can get unwell very quickly
gets sudden chest pain
is so breathless they’re unable to say short sentences when resting, or breathing suddenly gets worse – in babies their stomach may suck under their ribs
starts coughing up blood
collapses, faints, or has a seizure or fit for the first time
has a rash that does not fade when you roll a glass over it, the same as meningitis
 








                    Speak to your GP if:
                





your symptoms worsen
you’re concerned about your symptoms
you have symptoms that you can no longer manage at home
you’re worried about your child, especially if they’re under 2 years

If your GP is closed, phone 111. In an emergency phone 999. 

It’s particularly important to get help if you’re at increased risk of becoming more unwell from coronavirus such as if you’re pregnant, aged 60 or over, or have a weakened immune system.
Coronavirus self-help guide
Complete our self-help guide to check your symptoms and find out what to do next.
 
",symptom coronavirus include high temperature fever chill feeling generally unwell continuous cough loss change normal sense taste smell shortness breath unexplained tiredness lack energy muscle ache pain due exercise wanting eat feeling hungry headache thats unusual longer lasting usual sore throat stuffy runny nose diarrhoea feeling sick sick might continue cough feel tired symptom improved mean youre still infectious help symptom drink fluid like water keep hydrated get plenty rest wear loose comfortable clothing dont try make cold take overthecounter medication like paracetamol always follow manufacturer instruction antibiotic relieve symptom speed recovery phone go ae child seems unwell getting worse think there something seriously wrong child baby particular get unwell quickly get sudden chest pain breathless theyre unable say short sentence resting breathing suddenly get worse baby stomach may suck rib start coughing blood collapse faint seizure fit first time rash fade roll glass meningitis speak gp symptom worsen youre concerned symptom symptom longer manage home youre worried child especially theyre year gp closed phone emergency phone particularly important get help youre increased risk becoming unwell coronavirus youre pregnant aged weakened immune system coronavirus selfhelp guide complete selfhelp guide check symptom find next
57,Costochondritis,"The main symptom of costochondritis is chest pain that appears centrally. The pain doesn’t usually spread across the chest or into the arms.
The pain may be made worse by:

certain positions or activities, like wearing a seatbelt or hugging someone
deep breathing
coughing and sneezing

Modifying your activities while you recover may help reduce your symptoms.
",main symptom costochondritis chest pain appears centrally pain doesnt usually spread across chest arm pain may made worse certain position activity like wearing seatbelt hugging someone deep breathing coughing sneezing modifying activity recover may help reduce symptom
58,Crohn’s disease,"The symptoms of Crohn’s disease vary. They depend on which part of the digestive system is inflamed.
Common symptoms include:

recurring diarrhoea
abdominal pain and cramping, which is usually worse after eating
extreme tiredness (fatigue)
unintended weight loss
blood and mucus in your poo

You may have long periods without symptoms, or very mild symptoms. This is known as remission. This may be followed by periods where the symptoms are particularly troublesome. These are known as flare-ups or relapses.
Less common symptoms include:

a high temperature (fever) of 38°C (100°F) or above
feeling sick (nausea)
being sick (vomiting)
joint pain and swelling (arthritis)
inflammation and irritation of the eyes (uveitis)
areas of painful, red and swollen skin – most often the legs
mouth ulcers
anal pain and discharge due to perianal Crohn’s

Children with Crohn’s disease may grow at a slower rate than expected.







                    Speak to your GP practice if you have:
                





diarrhoea for more than 7 days
persistent abdominal pain
unexplained weight loss
blood in your poo
concern about your child’s development
 

",symptom crohn disease vary depend part digestive system inflamed common symptom include recurring diarrhoea abdominal pain cramping usually worse eating extreme tiredness fatigue unintended weight loss blood mucus poo may long period without symptom mild symptom known remission may followed period symptom particularly troublesome known flareups relapse le common symptom include high temperature fever c f feeling sick nausea sick vomiting joint pain swelling arthritis inflammation irritation eye uveitis area painful red swollen skin often leg mouth ulcer anal pain discharge due perianal crohn child crohn disease may grow slower rate expected speak gp practice diarrhoea day persistent abdominal pain unexplained weight loss blood poo concern child development
59,Cystic fibrosis,"Symptoms of cystic fibrosis tend to start in early childhood, although they can sometimes develop very soon after birth, or may not be obvious until adulthood.
Some of the main symptoms of cystic fibrosis can include:

recurring chest infections
difficulty putting on weight
frequent, wet-sounding coughs
diarrhoea
occasional wheezing and shortness of breath

People with the condition can also develop a number of related conditions, including diabetes, thin, weakened bones (osteoporosis) and liver problems.
Read more about the symptoms of cystic fibrosis
",symptom cystic fibrosis tend start early childhood although sometimes develop soon birth may obvious adulthood main symptom cystic fibrosis include recurring chest infection difficulty putting weight frequent wetsounding cough diarrhoea occasional wheezing shortness breath people condition also develop number related condition including diabetes thin weakened bone osteoporosis liver problem read symptom cystic fibrosis
60,Deafblindness,"A person who’s deafblind won’t usually be totally deaf and totally blind, but both senses will be reduced enough to cause difficulties with everyday activities.
The hearing and/or vision problems may be present from birth, but in many cases one or both problems develop gradually as a person gets older and they may not notice it themselves at first.
If someone you know has a combination of the signs mentioned below, it’s possible they have some degree of deafblindness and should seek medical advice.
",person who deafblind wont usually totally deaf totally blind sens reduced enough cause difficulty everyday activity hearing andor vision problem may present birth many case one problem develop gradually person get older may notice first someone know combination sign mentioned possible degree deafblindness seek medical advice
61,Degenerative cervical myelopathy,"It’s common to experience one or multiple symptoms.
The most common symptoms include:

pain or stiffness in the neck
tingling or numbness in the arms or legs (often starting in fingertips or toes) or less commonly in the body
change or loss in the manual coordination or dexterity in the hands (e.g. fastening buttons or tying shoelaces)
pain, weakness or heaviness in the arms or legs
imbalance or feeling unsteady which may lead to falls
difficulty walking
change of bladder or bowel function, such as increased urgency or incontinence

",common experience one multiple symptom common symptom include pain stiffness neck tingling numbness arm leg often starting fingertip toe le commonly body change loss manual coordination dexterity hand eg fastening button tying shoelace pain weakness heaviness arm leg imbalance feeling unsteady may lead fall difficulty walking change bladder bowel function increased urgency incontinence
62,Dehydration,"Symptoms of dehydration include:

feeling thirsty
having dark yellow, strong-smelling pee (urine)
peeing less often than usual (less than 3 or 4 times a day)
feeling dizzy or lightheaded
headache
feeling tired
a dry mouth, lips and eyes
sunken eyes

A baby may be dehydrated if they have:

a sunken soft spot (fontanelle) on their head
sunken eyes
few or no tears when they cry
a dry mouth
fewer wet nappies
dark yellow pee
drowsiness or are irritable
fast breathing
cold and blotchy-looking hands and feet

",symptom dehydration include feeling thirsty dark yellow strongsmelling pee urine peeing le often usual le time day feeling dizzy lightheaded headache feeling tired dry mouth lip eye sunken eye baby may dehydrated sunken soft spot fontanelle head sunken eye tear cry dry mouth fewer wet nappy dark yellow pee drowsiness irritable fast breathing cold blotchylooking hand foot
63,Depression,"Symptoms of depression can be very different from person to person. However, as a general rule, if you are depressed you feel hopeless, sad and lacking interest in things that used to make you feel happy.
Depression symptoms are bad enough to interfere with work, social life and family life, and can persist for weeks or months.
Doctors describe depression in one of three ways, depending on how serious it is:

mild depression – it has some impact on daily life
moderate depression – it has a significant impact on your daily life
severe depression – this makes it nearly impossible to get through your life day to day

A few people with severe depression may have symptoms of psychotic depression.
Below is a list of depression symptoms – it’s unlikely that one person would have all of them.
Psychological depression symptoms include:

continuous sadness or low mood
losing interest in things
losing motivation
not getting any enjoyment in life
feeling tearful
feeling guilty
feeling anxious
feeling irritable
finding it hard to make decisions
feeling intolerant of other people
feeling helpless
feeling hopeless
low self-esteem
feeling worried
thinking about suicide
thinking about harming yourself

Physical symptoms include:

speaking or moving slower than usual
aches and pains that can’t be explained
losing, or sometimes gaining, appetite or weight
constipation
loss of interest in sex
disturbed sleep (having trouble falling asleep, for example, or waking up very early)
loss of energy
changes in your menstrual cycle (the time of the month when you get your period)

Social symptoms are common too. These include:

avoiding talking to or spending time with your friends
taking part in fewer social activities
neglecting interests and hobbies
doing poorly at work
difficulties with your family or home life

It’s not always possible to tell that you’re having symptoms of depression right away – it can start and progress gradually. A lot of people don’t realise they’re ill and try to carry on and cope with their symptoms. Sometimes it takes a friend or family member to notice that there’s a problem.
",symptom depression different person person however general rule depressed feel hopeless sad lacking interest thing used make feel happy depression symptom bad enough interfere work social life family life persist week month doctor describe depression one three way depending serious mild depression impact daily life moderate depression significant impact daily life severe depression make nearly impossible get life day day people severe depression may symptom psychotic depression list depression symptom unlikely one person would psychological depression symptom include continuous sadness low mood losing interest thing losing motivation getting enjoyment life feeling tearful feeling guilty feeling anxious feeling irritable finding hard make decision feeling intolerant people feeling helpless feeling hopeless low selfesteem feeling worried thinking suicide thinking harming physical symptom include speaking moving slower usual ache pain cant explained losing sometimes gaining appetite weight constipation loss interest sex disturbed sleep trouble falling asleep example waking early loss energy change menstrual cycle time month get period social symptom common include avoiding talking spending time friend taking part fewer social activity neglecting interest hobby poorly work difficulty family home life always possible tell youre symptom depression right away start progress gradually lot people dont realise theyre ill try carry cope symptom sometimes take friend family member notice there problem
64,Diabetes,"The main symptoms of diabetes are:

feeling very thirsty
urinating more frequently than usual, particularly at night
feeling very tired
weight loss and loss of muscle bulk
itching around the penis or vagina, or frequent episodes of thrush
cuts or wounds that heal slowly
blurred vision

Type 1 diabetes can develop quickly over a few hours or even days.
Many people have type 2 diabetes for years without realising because the early symptoms tend to be general.
",main symptom diabetes feeling thirsty urinating frequently usual particularly night feeling tired weight loss loss muscle bulk itching around penis vagina frequent episode thrush cut wound heal slowly blurred vision type diabetes develop quickly hour even day many people type diabetes year without realising early symptom tend general
65,Diverticular disease and diverticulitis,"Symptoms of diverticular disease and diverticulitis include abdominal pain, bloating and a change in normal bowel habits.
",symptom diverticular disease diverticulitis include abdominal pain bloating change normal bowel habit
66,Ebola virus disease,"A person infected with Ebola virus will typically develop:

a high temperature (fever)
a headache
joint and muscle pain
a sore throat
severe muscle weakness

These symptoms start suddenly between 2 and 21 days after becoming infected.
Diarrhoea, vomiting, a rash, stomach pain and reduced kidney and liver function can follow. The person may then bleed internally, and may also bleed from the ears, eyes, nose or mouth.
",person infected ebola virus typically develop high temperature fever headache joint muscle pain sore throat severe muscle weakness symptom start suddenly day becoming infected diarrhoea vomiting rash stomach pain reduced kidney liver function follow person may bleed internally may also bleed ear eye nose mouth
67,Epilepsy,"The main symptoms of epilepsy are repeated seizures. There are different types of seizure, depending on which part of the brain it affects.
The cells in the brain, known as neurons, conduct electrical signals. They communicate with each other in the brain using chemical messengers. During a seizure, there are abnormal bursts of neurons firing off electrical impulses. This can cause the brain and body to behave strangely.
The severity of seizures can differ from person to person. Some people experience an odd feeling with no loss of awareness, or may have a “trance-like” state for a few seconds or minutes. Others lose consciousness and have convulsions (uncontrollable shaking of the body).
Some people might only have a single seizure. If they do not have a high risk of having further seizures, they would not be regarded as having epilepsy.
Types of seizures
People with epilepsy can experience any type of seizure, although most people have a consistent pattern of symptoms.
Seizures can occur when you’re awake or asleep.
The type of seizure depends on how much of the brain it affects. There are:

focal (or partial) seizures – where only a small part of the brain is affected
generalised seizures – where most or all of the brain is affected

Some seizures do not fit into these categories and are known as unclassified seizures.
Focal seizures
There are two main types of focal seizure.




Focal aware seizures

Focal aware seizures are where you remain fully conscious throughout.
Symptoms of a focal aware seizure can include:

a general strange feeling that is hard to describe
a “rising” feeling in your tummy – sometimes likened to the sensation in your stomach when on a fairground ride
an intense feeling that events have happened before (déjà vu)
experiencing an unusual smell or taste
a tingling sensation, or “pins and needles”, in your arms and legs
a sudden intense feeling of fear or joy
stiffness or twitching in part of the body, such as an arm or hand

These seizures are sometimes known as “warnings” or “auras”, because they can be a sign that another type of seizure is on its way. This can give you time to warn people around you and make sure you’re in a safe place.









Focal impaired awareness seizures

Focal impaired awareness seizures are when you lose your sense of awareness. You won’t remember what happened after this type of seizure.
The symptoms of a focal impaired awareness seizure can involve random bodily behaviour, like:

smacking your lips
rubbing your hands
making random noises
moving your arms around
picking at clothes
fiddling with objects
adopting an unusual posture
chewing or swallowing

During a focal impaired awareness seizure, you’ll not be able to respond to anyone else. You’ll usually have no memory of it.





Generalised seizures
There are 6 main types of generalised seizure.




Absences

Absence seizures mainly affect children, but they also occur in adults. They cause the person to lose awareness of their surroundings, usually for up to 15 seconds. The person will seem to stare vacantly into space. Some people will flutter their eyes or smack their lips. The person will have no memory of the seizure.
Absences can occur several times a day. They may affect a child’s performance at school. They can be dangerous if they occur at a critical time, like crossing a busy road.









Myoclonic seizures

These types of seizures cause your arms, legs or upper body to jerk or twitch, as if you have received an electric shock. They often only last for a fraction of a second, and you’ll normally remain conscious during this time.
Myoclonic jerks often happen in the first few hours after waking up. They can occur in combination with other types of generalised seizures.









Clonic seizures

These cause the same sort of twitching as myoclonic jerks, except the symptoms will last longer, normally up to 2 minutes. You might lose consciousness during a clonic seizure.









Atonic seizures

Atonic seizures cause all your muscles to relax suddenly. There’s a chance you may fall to the ground and you could injure yourself.









Tonic seizures

Tonic seizures cause all your muscles to suddenly become stiff. You might lose balance and fall over. Like atonic seizures, there’s a risk of injury.









Tonic-clonic seizures

Tonic-clonic seizures or convulsions have 2 stages. Your body will initially become stiff and then your arms and legs will begin twitching. You’ll lose consciousness and some people will wet themselves. The seizure normally lasts a minute, but can last longer.
This type of seizure is what most people think of as an epileptic fit.





Myoclonic-tonic-clonic seizures and Myoclonic-atonic are seizures involving a combination of the generalised seizures above.
",main symptom epilepsy repeated seizure different type seizure depending part brain affect cell brain known neuron conduct electrical signal communicate brain using chemical messenger seizure abnormal burst neuron firing electrical impulse cause brain body behave strangely severity seizure differ person person people experience odd feeling loss awareness may trancelike state second minute others lose consciousness convulsion uncontrollable shaking body people might single seizure high risk seizure would regarded epilepsy type seizure people epilepsy experience type seizure although people consistent pattern symptom seizure occur youre awake asleep type seizure depends much brain affect focal partial seizure small part brain affected generalised seizure brain affected seizure fit category known unclassified seizure focal seizure two main type focal seizure focal aware seizure focal aware seizure remain fully conscious throughout symptom focal aware seizure include general strange feeling hard describe rising feeling tummy sometimes likened sensation stomach fairground ride intense feeling event happened dj vu experiencing unusual smell taste tingling sensation pin needle arm leg sudden intense feeling fear joy stiffness twitching part body arm hand seizure sometimes known warning aura sign another type seizure way give time warn people around make sure youre safe place focal impaired awareness seizure focal impaired awareness seizure lose sense awareness wont remember happened type seizure symptom focal impaired awareness seizure involve random bodily behaviour like smacking lip rubbing hand making random noise moving arm around picking clothes fiddling object adopting unusual posture chewing swallowing focal impaired awareness seizure youll able respond anyone else youll usually memory generalised seizure main type generalised seizure absence absence seizure mainly affect child also occur adult cause person lose awareness surroundings usually second person seem stare vacantly space people flutter eye smack lip person memory seizure absence occur several time day may affect child performance school dangerous occur critical time like crossing busy road myoclonic seizure type seizure cause arm leg upper body jerk twitch received electric shock often last fraction second youll normally remain conscious time myoclonic jerk often happen first hour waking occur combination type generalised seizure clonic seizure cause sort twitching myoclonic jerk except symptom last longer normally minute might lose consciousness clonic seizure atonic seizure atonic seizure cause muscle relax suddenly there chance may fall ground could injure tonic seizure tonic seizure cause muscle suddenly become stiff might lose balance fall like atonic seizure there risk injury tonicclonic seizure tonicclonic seizure convulsion stage body initially become stiff arm leg begin twitching youll lose consciousness people wet seizure normally last minute last longer type seizure people think epileptic fit myoclonictonicclonic seizure myoclonicatonic seizure involving combination generalised seizure
68,Escherichia coli (E. coli) O157,"Symptoms include diarrhoea, stomach cramps and occasionally fever. About half of people with the infection will have bloody diarrhoea.
People usually notice symptoms 3 to 4 days after they have been infected. But symptoms can start any time between 1 and 14 days afterwards.
These symptoms can last up to 2 weeks.
Haemolytic uraemic syndrome (HUS)
A small number of people with E. coli O157 infection go on to develop a serious condition called haemolytic uraemic syndrome (HUS). Symptoms of HUS include:

peeing less
tiredness
swelling
bruising

This can sometimes lead to kidney failure and death, although this is rare. The risk of HUS is highest in children aged under 5 years.
Some people become infected but don’t develop symptoms.
Further information about gastroenteritis
",symptom include diarrhoea stomach cramp occasionally fever half people infection bloody diarrhoea people usually notice symptom day infected symptom start time day afterwards symptom last week haemolytic uraemic syndrome hus small number people e coli infection go develop serious condition called haemolytic uraemic syndrome hus symptom hus include peeing le tiredness swelling bruising sometimes lead kidney failure death although rare risk hus highest child aged year people become infected dont develop symptom information gastroenteritis
69,Ewing sarcoma: Children,"Pain is the most common symptom of bone cancer. It is frequently worse at night. However, symptoms may vary depending on the position and size of the cancer. There may be some swelling in the affected area if the tumour is close to the surface of the body and it may become tender to touch. This may cause a limp if in the leg or pelvis. Bone cancer is sometimes discovered when a bone that has been weakened by cancer breaks after the child has a minor fall or accident. Occasionally, there may be fever or weight loss.
",pain common symptom bone cancer frequently worse night however symptom may vary depending position size cancer may swelling affected area tumour close surface body may become tender touch may cause limp leg pelvis bone cancer sometimes discovered bone weakened cancer break child minor fall accident occasionally may fever weight loss
70,Febrile seizures,"The main symptom of a febrile seizure is a fit that occurs while a child has a fever.
Febrile seizures often occur during the first day of a fever, which is defined as a high temperature of 38C (100.4F) or above. 
However, there appears to be no connection between the extent of your child’s fever and the start of a seizure. Seizures can occur even if your child has a mild fever.
Simple febrile seizures can happen when there’s a rapid rise in temperature and you may only realise your child is ill when they have a fit. Alternatively, they can occur as your child’s temperature drops from a high level.
During simple febrile seizures:

your child’s body will become stiff and their arms and legs will begin to twitch
they’ll lose consciousness and they may wet or soil themselves
they may also vomit and foam at the mouth and their eyes may roll back
the seizure usually lasts for less than five minutes
following the seizure, your child may be sleepy for up to an hour afterwards

Complex febrile seizures tend to last longer than 15 minutes, and the symptoms may only affect one area of your child’s body. The seizure sometimes recurs within 24 hours or during the period in which your child is ill.
",main symptom febrile seizure fit occurs child fever febrile seizure often occur first day fever defined high temperature c f however appears connection extent child fever start seizure seizure occur even child mild fever simple febrile seizure happen there rapid rise temperature may realise child ill fit alternatively occur child temperature drop high level simple febrile seizure child body become stiff arm leg begin twitch theyll lose consciousness may wet soil may also vomit foam mouth eye may roll back seizure usually last le five minute following seizure child may sleepy hour afterwards complex febrile seizure tend last longer minute symptom may affect one area child body seizure sometimes recurs within hour period child ill
71,Fibroids,"Many people don’t know that they have fibroids because they don’t have any symptoms. This is nothing to worry about.







                    Speak to your doctor if:
                




You’re worried about your symptoms or you regularly have:

heavy periods
painful periods
tummy (abdominal) pain
lower back pain
a frequent need to urinate
constipation
pain or discomfort during sex
symptoms which are affecting your day to day life
 

If your doctor thinks you might have fibroids, they’ll usually refer you for an ultrasound scan to confirm the diagnosis.












",many people dont know fibroid dont symptom nothing worry speak doctor youre worried symptom regularly heavy period painful period tummy abdominal pain lower back pain frequent need urinate constipation pain discomfort sex symptom affecting day day life doctor think might fibroid theyll usually refer ultrasound scan confirm diagnosis
72,Flu,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
73,Food allergy,"The symptoms of a food allergy almost always develop a few seconds or minutes after eating the food.
Some people may develop a severe allergic reaction (anaphylaxis), which can be life threatening.
The most common type of allergic reaction to food is known as an IgE-mediated food allergy.
Symptoms include:

tingling or itching in the mouth
a raised, itchy red rash (urticarial) – in some cases, the skin can turn red and itchy, but without a raised rash
swelling of the face, mouth (angioedema), throat or other areas of the body
difficulty swallowing
wheezing or shortness of breath
feeling dizzy and lightheaded
feeling sick (nausea) or vomiting
abdominal pain or diarrhoea
hay fever-like symptoms, such as sneezing or itchy eyes (allergic conjunctivitus) 

",symptom food allergy almost always develop second minute eating food people may develop severe allergic reaction anaphylaxis life threatening common type allergic reaction food known igemediated food allergy symptom include tingling itching mouth raised itchy red rash urticarial case skin turn red itchy without raised rash swelling face mouth angioedema throat area body difficulty swallowing wheezing shortness breath feeling dizzy lightheaded feeling sick nausea vomiting abdominal pain diarrhoea hay feverlike symptom sneezing itchy eye allergic conjunctivitus
